software_string,type,cpe_part,vendor,product,cna_source,cpe_combined_score,vendor_similarity_score,product_similarity_score,vendor_simple_similarity,product_simple_similarity,vendor_product_count,vendor_vulnerability_count,product_vulnerability_count,recommender_level,recommender_order,recommender_type
Microsoft:Windows Server 2008,SOFTWARE,a,google_doc_embedder_project,google_doc_embedder,UNKNOWN,0.8687,-0.021946141,0.00252371,0.511890697,0.469573817,28,0,0,VENDOR,REJECT,application
Microsoft:Windows Server 2008,SOFTWARE,a,online_lottery_php_readymade_script_project,online_lottery_php_readymade_script,UNKNOWN,0.8681,-0.020592389,0.086701419,0.564782495,0.533333333,3,0,0,VENDOR,REJECT,application
Microsoft:Windows Server 2008,SOFTWARE,a,google_map_landkarten_project,google_map_landkarten,UNKNOWN,0.8676,0.102233997,0.038825178,0.483493778,0.357830027,3,0,0,VENDOR,REJECT,application
Microsoft:Windows Server 2008,SOFTWARE,a,google_map_project,google_map,UNKNOWN,0.8672,0.058979164,-0.165210588,0.569802882,0.213504205,2,0,0,VENDOR,REJECT,application
Amazon:Echo Show,HARDWARE,a,f5,big-ip_policy_enforcement_manager,F5 Networks,0.8842,0.301854877,0.130258003,0,0.352672808,3642,3584,263,PRODUCT,LOWEST,application
Microsoft:Windows Server 2008,SOFTWARE,a,acdsee,photo_editor_2008,UNKNOWN,0.8649,0.209280663,0.145034999,0.213200716,0.577350269,14,1,0,VENDOR,REJECT,application
Microsoft:Windows Server 2008,SOFTWARE,a,google_authenticator_login_project,ga_login,UNKNOWN,0.8648,-0.16900947,0.086459103,0.646508184,0.19245009,16,0,0,VENDOR,REJECT,application
Microsoft:Windows Server 2008,SOFTWARE,a,google_sitemap_project,google_sitemap,UNKNOWN,0.8646,0.060847872,0.090696165,0.635850784,0.397359707,3,0,0,VENDOR,REJECT,application
Microsoft:Windows Server 2008,SOFTWARE,a,gnome,update-manager-core,"Red Hat, Inc.",0.8627,0.111818579,0.107032715,0.404519917,0.449345734,6500,29,0,VENDOR,REJECT,application
Microsoft:Windows Server 2008,SOFTWARE,a,nero,live,UNKNOWN,0.8626,0.214052863,0.303929114,0.452267017,0.384900179,92,0,0,VENDOR,REJECT,application
Apple:Display Connector,HARDWARE,a,f5,big-ip_link_controller,F5 Networks,0.965,0.235597012,0.212060637,0,0.736049619,3642,3584,262,PRODUCT,LOW,application
